MacFile,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8,Tile9
mufs190-1951-dpb1h21-i001-001.tif,18TYM110860\18TYM110860.jp2,18TYM125860\18TYM125860.jp2,18TYM140860\18TYM140860.jp2,18TYM110845\18TYM110845.jp2,18TYM125845\18TYM125845.jp2,18TYM140845\18TYM140845.jp2,18TYM110830\18TYM110830.jp2,18TYM125830\18TYM125830.jp2,18TYM140830\18TYM140830.jp2
mufs190-1951-dpb1h22-i001-001.tif,18TYM110875\18TYM110875.jp2,18TYM125875\18TYM125875.jp2,18TYM140875\18TYM140875.jp2,18TYM110860\18TYM110860.jp2,18TYM125860\18TYM125860.jp2,18TYM140860\18TYM140860.jp2,18TYM110845\18TYM110845.jp2,18TYM125845\18TYM125845.jp2,18TYM140845\18TYM140845.jp2
mufs190-1951-dpb1h23-i001-001.tif,18TYM110890\18TYM110890.jp2,18TYM125890\18TYM125890.jp2,18TYM140890\18TYM140890.jp2,18TYM110875\18TYM110875.jp2,18TYM125875\18TYM125875.jp2,18TYM140875\18TYM140875.jp2,18TYM110860\18TYM110860.jp2,18TYM125860\18TYM125860.jp2,18TYM140860\18TYM140860.jp2
mufs190-1951-dpb1h24-i001-001.tif,18TYM110905\18TYM110905.jp2,18TYM125905\18TYM125905.jp2,18TYM140905\18TYM140905.jp2,18TYM110890\18TYM110890.jp2,18TYM125890\18TYM125890.jp2,18TYM140890\18TYM140890.jp2,18TYM110875\18TYM110875.jp2,18TYM125875\18TYM125875.jp2,18TYM140875\18TYM140875.jp2
mufs190-1951-dpb1h25-i001-001.tif,18TYM110920\18TYM110920.jp2,18TYM125920\18TYM125920.jp2,18TYM140920\18TYM140920.jp2,18TYM110905\18TYM110905.jp2,18TYM125905\18TYM125905.jp2,18TYM140905\18TYM140905.jp2,18TYM110890\18TYM110890.jp2,18TYM125890\18TYM125890.jp2,18TYM140890\18TYM140890.jp2
mufs190-1952-dpb3h109-i001-001.tif,18TYM170785\18TYM170785.jp2,18TYM185785\18TYM185785.jp2,18TYM200785\18TYM200785.jp2,18TYM170770\18TYM170770.jp2,18TYM185770\18TYM185770.jp2,18TYM200770\18TYM200770.jp2,18TYM170755\18TYM170755.jp2,18TYM185755\18TYM185755.jp2,18TYM200755\18TYM200755.jp2
mufs190-1952-dpb3h110-i001-001.tif,18TYM170800\18TYM170800.jp2,18TYM185800\18TYM185800.jp2,18TYM200800\18TYM200800.jp2,18TYM170785\18TYM170785.jp2,18TYM185785\18TYM185785.jp2,18TYM200785\18TYM200785.jp2,18TYM170770\18TYM170770.jp2,18TYM185770\18TYM185770.jp2,18TYM200770\18TYM200770.jp2
mufs190-1952-dpb3h111-i001-001.tif,18TYM170815\18TYM170815.jp2,18TYM185815\18TYM185815.jp2,18TYM200815\18TYM200815.jp2,18TYM170800\18TYM170800.jp2,18TYM185800\18TYM185800.jp2,18TYM200800\18TYM200800.jp2,18TYM170785\18TYM170785.jp2,18TYM185785\18TYM185785.jp2,18TYM200785\18TYM200785.jp2
mufs190-1952-dpb3h155-i001-001.tif,18TYM155755\18TYM155755.jp2,18TYM170755\18TYM170755.jp2,18TYM185755\18TYM185755.jp2,18TYM155740\18TYM155740.jp2,18TYM170740\18TYM170740.jp2,18TYM185740\18TYM185740.jp2,18TYM155725\18TYM155725.jp2,18TYM170725\18TYM170725.jp2,18TYM185725\18TYM185725.jp2
mufs190-1952-dpb3h156-i001-001.tif,18TYM140770\18TYM140770.jp2,18TYM155770\18TYM155770.jp2,18TYM170770\18TYM170770.jp2,18TYM155755\18TYM155755.jp2,18TYM170755\18TYM170755.jp2,18TYM185755\18TYM185755.jp2,18TYM155740\18TYM155740.jp2,18TYM170740\18TYM170740.jp2,18TYM185740\18TYM185740.jp2
