Filename,Coord X,Coord Y,GeoReferenced,Annotated
mufs190-1952-dpb4h152-i001-001.tif,119159.9411,893010.252,1,0.0
mufs190-1952-dpb4h153-i001-001.tif,118858.1885,894867.707,1,2.0
mufs190-1952-dpb6h63-i001-001.tif,115755.1222,893912.8949,1,0.0
mufs190-1952-dpb6h67-i001-001.tif,115755.5138,892564.6884,1,2.0
mufs190-1952-dpb6h68-i001-001.tif,115654.9296,891106.2175,1,0.0
mufs190-1952-dpb6h69-i001-001.tif,115520.8173,889748.3308,1,2.0
mufs190-1952-dpb6h70-i001-001.tif,115520.8173,888004.8713,1,0.0
mufs190-1952-dpb6h71-i001-001.tif,115789.0418,886361.996,1,0.0
mufs190-1951-cni2h4-i001-001.tif,83801.3157,865452.6239,1,1.0
mufs190-1951-cni2h5-i001-001.tif,83650.4394,866760.2185,1,0.0
mufs190-1951-cni2h6-i001-001.tif,83767.78763,868185.1613,1,2.0
mufs190-1951-cni2h7-i001-001.tif,83801.3157,869693.9243,1,0.0
mufs190-1951-cni2h8-i001-001.tif,83968.95603,871638.5522,1,2.0
mufs190-1951-cni2h9-i001-001.tif,84086.30427,873113.7872,1,1.0
mufs190-1951-cni2h10-i001-001.tif,83868.37183,874689.6063,1,1.0
mufs190-1951-cni2h104-i001-001.tif,80079.02292,875718.5871,1,1.0
mufs190-1951-cni2h105-i001-001.tif,80290.69001,873995.617,1,1.0
mufs190-1951-cni2h106-i001-001.tif,80544.69052,872471.6139,1,0.0
mufs190-1951-cni2h107-i001-001.tif,80502.3571,870566.6101,1,1.0
mufs190-1951-cni2h108-i001-001.tif,80417.69026,868915.6068,1,0.0
mufs190-1951-cni2h109-i001-001.tif,80354.19014,867455.1039,1,1.0
mufs190-1951-cni2h110-i001-001.tif,80206.02317,865677.1003,1,0.0
